Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,
Dames 1,D 1-0021,08/10/2019,20:45,VBT Machelen Dames 6,VOTEROES ,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0029,15/10/2019,21:00,SPORTASUNA,VBT Machelen Dames 6,Sportoase De Lijster,
Dames 1,D 1-0033,22/10/2019,20:45,VBT Machelen Dames 6,KATASTROFIE,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0052,05/11/2019,20:45,VBT Machelen Dames 6,ORIX-UFO,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0044,21/11/2019,20:15,DAVOC LONDERZEEL,VBT Machelen Dames 6,Polyvalente zaal Steenhuffel,
Dames 1,D 1-0056,05/12/2019,20:30,DA@TMET LIEDEKERKE,VBT Machelen Dames 6,Sporthal Heuvelkouter,
Dames 1,D 1-0013,11/12/2019,20:00,MISTOUCH GAVO,VBT Machelen Dames 6,Sporthal Richard Bauthier,
Dames 1,D 1-0062,17/12/2019,20:45,VBT Machelen Dames 6,LAS GUAPAS,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0081,14/01/2020,20:45,VBT Machelen Dames 6,MISTOUCH GAVO,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0086,26/01/2020,20:15,VOTEROES ,VBT Machelen Dames 6,Sportcomplex Kessel-Lo,
Dames 1,D 1-0093,28/01/2020,20:45,VBT Machelen Dames 6,SPORTASUNA,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0102,04/02/2020,20:15,KATASTROFIE,VBT Machelen Dames 6,Willy Vandenberghecentrum,
Dames 1,D 1-0114,03/03/2020,20:45,VBT Machelen Dames 6,DAVOC LONDERZEEL,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0118,13/03/2020,20:15,ORIX-UFO,VBT Machelen Dames 6,Sportcomplex Schotte,
Dames 1,D 1-0122,17/03/2020,20:45,VBT Machelen Dames 6,DA@TMET LIEDEKERKE,Gemeentelijke Sporthal Bosveld,
Dames 1,D 1-0130,24/03/2020,20:45,LAS GUAPAS,VBT Machelen Dames 6,Gemeentelijke Sporthal Waalborre,